XPosition	ZPosition	FieldIntegral	TrajAngle
4.620511431592208	0.005349985017465751	0.1452611452732025	1.570815752502277
4.616643068643077	0.2014579087647201	-2.903845397879634	1.619845310056021
4.603819294789679	0.3975817848870987	-7.394974463264185	1.668957069803768
4.578006861971621	0.5925322466982197	-10.63749386574013	1.71809659807334
4.543556366435057	0.7855625349290918	-14.2369481486942	1.767111182501298
4.500068187370269	0.9768693827759107	-17.65629478262255	1.816161934750195
4.448354819139111	1.166525321570156	-20.84405297887449	1.865309358328054
4.386168998683091	1.352981877194858	-24.0287316000576	1.914449133672862
4.315706299639025	1.536093986987061	-26.82848976263707	1.963503572957398
4.236062779996146	1.715095843141278	-29.1521495145749	2.012488356601725
4.147744724324745	1.891039244406137	-31.12924630876646	2.061710038589673
4.051159606911528	2.062063956500173	-32.63115381733671	2.110815537287948
3.945582114441711	2.22749956489374	-33.72315601674486	2.159883447316832
3.832548921928348	2.38807506421896	-34.43028795755048	2.208984434616466
3.711844927365436	2.542985247194895	-34.91683371842564	2.258087661618536
3.584132956115231	2.692019108421441	-35.24727122581148	2.307156871451412
3.447973821900293	2.833863400322404	-35.262640026155	2.356314423728375
3.305941310989835	2.968986442742683	-35.02787154590752	2.405332585468694
3.157177280687026	3.097183365811065	-34.83105784150839	2.454436842922211
3.003012780981804	3.218436536981213	-34.25871092871544	2.503475388969215
2.841809721387007	3.331195027924599	-33.83661716928092	2.552660842217819
2.675945740131617	3.435998141736916	-32.41927591260087	2.601720052924331
2.505677018996836	3.53248890422423	-31.17464810978127	2.650657203829521
2.330139676157065	3.621390948530109	-29.35524951911454	2.699855494204303
2.150290664592713	3.700886215035006	-27.09356946856206	2.749019188334563
1.967573097319715	3.771118539296099	-24.42039493381196	2.797964323774827
1.780724453387366	3.833004927310724	-21.36858284059864	2.847179986566003
1.59144466941408	3.885441909797014	-18.26054469612859	2.896288704094527
1.400151527375109	3.928420897014519	-14.66828281583529	2.94530989331861
1.206938929130917	3.962555271471094	-11.5013441750487	2.994362555579199
1.012119654307501	3.991889344067575	-8.142007182461667	3.043564199012041
0.8159300242038168	4.001193686932953	-3.29012876203874	3.092614643361931
0.6198120570776139	4.004794220104467	-0.363491083598295	3.141654921644489
0.4234416839297329	4.001258855629759	2.640140682788102	3.190757225629063
0.2279379487769457	3.991885662750239	7.493431034517586	3.239637246096621
0.03324610407014733	3.962476604610721	10.79709801586029	3.288810099604275
-0.1605889194877878	3.928427032543413	13.94536217372947	3.338012323848419
-0.3520709979112848	3.885319388103511	17.6224415059186	3.387085572689436
